landmark_name,landmark_address,designation_year,start_built_year,recognize_time,architect,latitude,longitude
Carson Pirie Scott & Company Building,1 S State St,1970,1898,72,"Louis H. Sullivan, 1905-6:D.H. Burnham&Co.",41.88,-87.63
John J. Glessner House,1800 S Prairie Av,1970,1886,84,Henry Hobson Richardson,41.86,-87.62
Henry B Clarke House,1855 S Indiana Av,1970,1836,134,Unknown,41.86,-87.62
Site of the 1st Self-Sustain Cont. Nuclear Chain,East Side of S Ellis Ave between 56th & 57th St,1971,1942,29,"Commern. sculpture,""Nuclear Energy"" Henry Moore",41.79,-87.6
Getty Tomb,"Graceland Cemetery, 4011 N Clark St",1971,1890,81,Louis H. Sullivan,41.96,-87.66
Isidore H. Heller House,5132 S Woodlawn Av,1971,1897,74,Frank Lloyd Wright,41.8,-87.6
Frederick C. Robie House,5757 S Woodlawn Av,1971,1909,62,Frank Lloyd Wright,41.79,-87.6
Site of the Origin of the Chicago Fire of 1871,Dekoven (1050s) & Jefferson (600w) St,1971,1871,100,"comm sculpture,""Pillar of Fire"" Egon Weiner 1961",41.87,-87.64
Heald Square Monument,Wacker Dr at Wabash Av,1971,1936,35,"Lorado Taft & Leonrd Crunelle, Sculptors",41.89,-87.63
Rookery Building,209 S LaSalle St,1972,1885,87,Burnham & Root,41.88,-87.63
Union Stock Yard Gate,Exchange Av (4150S) at Peoria St (900W),1972,1875,97,Burnham and Root,41.82,-87.65
James Charnley House,1365 N Astor st,1972,1891,81,"Adler and Sullivan, Frank Lloyd Wright",41.91,-87.63
Albert F. Madlener House,4 W Burton Pl,1973,1902,71,Richard E. Schmidt & Hugh M.G. Garden,41.91,-87.63
Monadnock Block,53 W Jackson Blvd,1973,1889,84,N1/2: Burham & Root; S1/2: Holabird & Roche,41.88,-87.63
Bryan Lathrop House,120 E Bellevue Pl,1973,1892,81,"McKim, Meade & White",41.9,-87.63
Francis J. Dewes House,503 W Wrightwood Av,1974,1896,78,Adolph Cudell & Arthur Hercz,41.93,-87.64
Jane Addams' Hull House and Dining Hall,800 S Halsted St,1974,1856,118,"Unknown, Dining Hall 1905: Pond & Pond",41.87,-87.65
Reliance Building,32 N State St,1975,1890,85,base:Burham & Root Upper Stor: D.H. Burnham and Co,41.88,-87.63
Marquette Building,140 S Dearborn St,1975,1895,80,Holabird and Roche,41.88,-87.63
"Reid, Murdoch and Company Building",320 N Clark St,1976,1914,62,George C. Nimmons,41.89,-87.63
Auditorium Building,430 S Michigan Av,1976,1886,90,Adler & Sullivan,41.88,-87.63
Chicago Public Library/Cultural Center,78 E Washington St,1976,1897,79,"Shepley, Rutan and Coolidge",41.88,-87.62
Second Presbyterian Church,1928-1936 S Michigan Av,1977,1874,103,James Renwick Recon:1900;Howard Van Doren Shaw,41.86,-87.62
Krause Music Store,4611 N Lincoln Av,1977,1922,55,William Presto ans Louis H. Sullivan,41.97,-87.69
Stephen A. Douglas Memorial,35th St and Cottage Grove Av,1977,1881,96,Leonard W. Volk,41.83,-87.61
